"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SEXE - Ensemble tous sexes confondus"

,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"08 - Ardennes","Anatomie et cytologie pathologiques",3,0,0,1,0,0,0,1,0,1,0
"08 - Ardennes","Anesthésie-réanimation",24,0,1,1,3,2,5,6,3,3,0
"08 - Ardennes","Biologie médicale",6,2,2,0,0,1,0,0,1,0,0
"08 - Ardennes","Cardiologie et maladies vasculaires",18,1,3,4,0,0,3,2,3,2,0
"08 - Ardennes","Chirurgie générale",14,0,0,0,0,3,0,3,3,3,2
"08 - Ardennes","Chirurgie maxillo-faciale et stomatologie",2,0,0,0,0,0,0,0,2,0,0
"08 - Ardennes","Chirurgie orthopédique et traumatologie",11,0,0,0,1,4,2,1,1,2,0
"08 - Ardennes","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Chirurgie urologique",3,0,0,0,1,0,2,0,0,0,0
"08 - Ardennes","Chirurgie vasculaire",1,0,0,0,0,0,0,0,1,0,0
"08 - Ardennes","Chirurgie viscérale et digestive",2,0,0,0,0,0,0,1,1,0,0
"08 - Ardennes","Dermatologie et vénéréologie",7,0,3,0,0,0,1,1,1,0,1
"08 - Ardennes","Endocrinologie et métabolisme",2,0,0,1,0,0,0,0,1,0,0
"08 - Ardennes","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Gériatrie",8,0,0,1,1,0,2,3,1,0,0
"08 - Ardennes","Gynécologie médicale",9,0,0,0,0,0,2,1,4,2,0
"08 - Ardennes","Gynécologie-obstétrique",12,1,0,1,0,1,4,4,0,0,1
"08 - Ardennes","Hématologie",1,0,0,0,0,0,0,1,0,0,0
"08 - Ardennes","Gastro-entérologie et hépatologie",9,0,1,0,0,1,4,2,1,0,0
"08 - Ardennes","Médecine du travail",19,1,0,1,2,1,0,5,7,1,1
"08 - Ardennes","Médecine interne",4,0,0,0,1,0,2,0,1,0,0
"08 - Ardennes","Médecine nucléaire",2,0,0,0,0,0,0,1,1,0,0
"08 - Ardennes","Médecine physique et réadaptation",7,2,3,0,1,0,0,0,1,0,0
"08 - Ardennes","Néphrologie",4,0,0,0,0,0,2,2,0,0,0
"08 - Ardennes","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Neurologie",2,0,0,1,0,0,0,1,0,0,0
"08 - Ardennes","O.R.L et chirurgie cervico faciale",6,0,0,0,0,0,0,5,0,1,0
"08 - Ardennes","Oncologie option médicale",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Ophtalmologie",10,0,0,0,0,0,1,2,5,2,0
"08 - Ardennes","Pédiatrie",18,0,0,3,2,3,2,5,1,1,1
"08 - Ardennes","Pneumologie",9,0,1,1,0,2,1,2,2,0,0
"08 - Ardennes","Psychiatrie",24,0,3,0,0,3,1,6,6,4,1
"08 - Ardennes","Radio-diagnostic et imagerie médicale",25,0,2,3,0,1,6,8,4,0,1
"08 - Ardennes","Radio-thérapie",2,0,0,0,0,0,1,1,0,0,0
"08 - Ardennes","Réanimation médicale",1,0,0,0,0,0,1,0,0,0,0
"08 - Ardennes","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"08 - Ardennes","Rhumatologie",6,0,0,2,1,1,0,2,0,0,0
"08 - Ardennes","Santé publique et médecine sociale",3,0,0,0,1,0,1,0,1,0,0
"08 - Ardennes","Généralistes",379,7,25,21,28,41,72,91,59,31,4
"08 - Ardennes","Médecine générale",379,7,25,21,28,41,72,91,59,31,4
"09 - Ariège","Ensemble des spécialités d'exercice",451,4,31,48,35,41,68,84,81,46,13
"09 - Ariège","Spécialistes",174,2,15,15,5,16,23,41,30,23,4
"09 - Ariège","Anatomie et cytologie pathologiques",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Anesthésie-réanimation",15,0,3,1,0,0,0,5,5,1,0
"09 - Ariège","Biologie médicale",4,0,0,0,0,1,1,2,0,0,0
"09 - Ariège","Cardiologie et maladies vasculaires",9,0,2,0,0,0,0,3,2,2,0
"09 - Ariège","Chirurgie générale",6,0,1,0,0,0,0,2,2,1,0
"09 - Ariège","Chirurgie maxillo-faciale et stomatologie",1,0,0,0,0,0,0,1,0,0,0
"09 - Ariège","Chirurgie orthopédique et traumatologie",6,0,1,0,0,2,2,0,0,1,0
"09 - Ariège","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Chirurgie urologique",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Chirurgie vasculaire",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Chirurgie viscérale et digestive",2,0,0,0,1,1,0,0,0,0,0
"09 - Ariège","Dermatologie et vénéréologie",4,0,0,0,0,0,0,1,1,2,0
"09 - Ariège","Endocrinologie et métabolisme",4,0,1,0,0,1,0,0,1,1,0
"09 - Ariège","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Gériatrie",6,0,0,0,1,1,2,0,2,0,0
"09 - Ariège","Gynécologie médicale",7,0,0,0,0,0,0,4,0,2,1
"09 - Ariège","Gynécologie-obstétrique",4,0,1,0,0,1,1,0,1,0,0
"09 - Ariège","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Gastro-entérologie et hépatologie",6,0,1,0,1,1,0,2,0,1,0
"09 - Ariège","Médecine du travail",4,0,0,0,0,1,1,0,1,1,0
"09 - Ariège","Médecine interne",2,0,0,0,0,1,0,1,0,0,0
"09 - Ariège","Médecine nucléaire",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Médecine physique et réadaptation",4,0,0,2,0,0,0,2,0,0,0
"09 - Ariège","Néphrologie",5,1,0,2,0,0,0,0,1,1,0
"09 - Ariège","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Neurologie",1,0,0,0,0,0,0,0,0,1,0
"09 - Ariège","O.R.L et chirurgie cervico faciale",5,0,1,0,0,0,1,1,2,0,0
"09 - Ariège","Oncologie option médicale",2,0,0,1,0,0,1,0,0,0,0
"09 - Ariège","Ophtalmologie",7,0,0,3,1,0,0,3,0,0,0
"09 - Ariège","Pédiatrie",13,1,1,3,1,1,2,1,2,0,1
"09 - Ariège","Pneumologie",7,0,0,1,0,1,2,1,0,2,0
"09 - Ariège","Psychiatrie",24,0,2,0,0,2,4,3,7,4,2
"09 - Ariège","Radio-diagnostic et imagerie médicale",14,0,0,0,0,2,2,6,2,2,0
"09 - Ariège","Radio-thérapie",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Réanimation médicale",3,0,0,0,0,0,3,0,0,0,0
"09 - Ariège","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"09 - Ariège","Rhumatologie",6,0,0,1,0,0,0,3,1,1,0
"09 - Ariège","Santé publique et médecine sociale",3,0,1,1,0,0,1,0,0,0,0
"09 - Ariège","Généralistes",277,2,16,33,30,25,45,43,51,23,9
"09 - Ariège","Médecine générale",277,2,16,33,30,25,45,43,51,23,9
"10 - Aube","Ensemble des spécialités d'exercice",740,4,36,34,66,88,134,150,138,75,15
"10 - Aube","Spécialistes",358,2,11,16,24,40,73,76,69,39,8
"10 - Aube","Anatomie et cytologie pathologiques",6,0,0,0,0,1,2,1,1,0,1
"10 - Aube","Anesthésie-réanimation",33,0,0,2,4,4,8,9,3,3,0
"10 - Aube","Biologie médicale",7,0,0,0,1,2,3,0,1,0,0
"10 - Aube","Cardiologie et maladies vasculaires",22,1,0,1,1,4,4,7,1,1,2
"10 - Aube","Chirurgie générale",12,0,1,1,0,1,3,1,2,2,1
"10 - Aube","Chirurgie maxillo-faciale et stomatologie",3,0,0,0,0,0,0,1,2,0,0
"10 - Aube","Chirurgie orthopédique et traumatologie",14,0,1,0,2,2,4,2,2,1,0
"10 - Aube","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Chirurgie plastique reconstructrice et esthétique",3,0,0,0,0,1,1,1,0,0,0
"10 - Aube","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Chirurgie urologique",6,0,0,1,1,0,2,1,1,0,0
"10 - Aube","Chirurgie vasculaire",3,0,0,0,0,0,2,0,0,1,0
"10 - Aube","Chirurgie viscérale et digestive",2,0,0,0,0,1,1,0,0,0,0
"10 - Aube","Dermatologie et vénéréologie",11,0,0,0,1,1,0,5,2,1,1
"10 - Aube","Endocrinologie et métabolisme",6,0,0,0,1,0,2,3,0,0,0
"10 - Aube","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Gériatrie",7,0,0,0,0,1,2,2,2,0,0
"10 - Aube","Gynécologie médicale",13,0,0,0,0,1,2,3,5,2,0
"10 - Aube","Gynécologie-obstétrique",16,0,2,0,3,2,4,2,0,3,0
"10 - Aube","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Gastro-entérologie et hépatologie",15,0,0,0,0,2,3,5,2,2,1
"10 - Aube","Médecine du travail",21,0,1,2,0,0,2,9,6,1,0
"10 - Aube","Médecine interne",4,1,0,0,0,0,0,1,1,0,1
"10 - Aube","Médecine nucléaire",2,0,0,0,0,0,1,0,1,0,0
"10 - Aube","Médecine physique et réadaptation",8,0,0,2,1,1,0,1,0,3,0
"10 - Aube","Néphrologie",5,0,1,0,1,0,1,0,2,0,0
"10 - Aube","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Neurologie",7,0,1,0,2,1,1,1,1,0,0
"10 - Aube","O.R.L et chirurgie cervico faciale",8,0,0,0,0,1,2,1,0,4,0
"10 - Aube","Oncologie option médicale",1,0,0,0,0,0,1,0,0,0,0
"10 - Aube","Ophtalmologie",17,0,2,1,0,1,1,3,6,3,0
"10 - Aube","Pédiatrie",19,0,1,2,0,4,4,4,2,2,0
"10 - Aube","Pneumologie",10,0,0,0,2,0,1,3,3,1,0
"10 - Aube","Psychiatrie",36,0,1,3,0,2,5,5,15,4,1
"10 - Aube","Radio-diagnostic et imagerie médicale",27,0,0,1,3,4,7,5,3,4,0
"10 - Aube","Radio-thérapie",4,0,0,0,1,0,1,0,2,0,0
"10 - Aube","Réanimation médicale",1,0,0,0,0,0,0,0,1,0,0
"10 - Aube","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"10 - Aube","Rhumatologie",7,0,0,0,0,3,1,0,2,1,0
"10 - Aube","Santé publique et médecine sociale",2,0,0,0,0,0,2,0,0,0,0
"10 - Aube","Généralistes",382,2,25,18,42,48,61,74,69,36,7
"10 - Aube","Médecine générale",382,2,25,18,42,48,61,74,69,36,7
"11 - Aude","Ensemble des spécialités d'exercice",1090,7,37,74,91,117,190,230,206,112,26
"11 - Aude","Spécialistes",518,1,20,36,44,62,76,115,97,54,13
"11 - Aude","Anatomie et cytologie pathologiques",7,0,0,0,0,1,1,1,3,1,0
"11 - Aude","Anesthésie-réanimation",54,0,6,5,3,5,8,10,9,7,1
"11 - Aude","Biologie médicale",14,0,0,0,0,4,6,2,1,1,0
"11 - Aude","Cardiologie et maladies vasculaires",38,0,0,5,1,2,9,6,7,4,4
"11 - Aude","Chirurgie générale",12,0,1,2,0,1,1,1,4,2,0
"11 - Aude","Chirurgie maxillo-faciale et stomatologie",6,0,1,0,1,1,0,2,1,0,0
"11 - Aude","Chirurgie orthopédique et traumatologie",15,0,0,2,1,3,2,2,3,1,1
"11 - Aude","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"11 - Aude","Chirurgie plastique reconstructrice et esthétique",1,0,0,0,0,0,1,0,0,0,0
"11 - Aude","Chirurgie thoracique et cardio-vasculaire",2,0,0,0,0,0,2,0,0,0,0
"11 - Aude","Chirurgie urologique",5,0,0,0,3,0,1,1,0,0,0
"11 - Aude","Chirurgie vasculaire",4,0,0,0,1,2,1,0,0,0,0
"11 - Aude","Chirurgie viscérale et digestive",8,0,0,1,1,2,3,1,0,0,0
"11 - Aude","Dermatologie et vénéréologie",17,1,0,0,0,3,0,3,5,5,0
"11 - Aude","Endocrinologie et métabolisme",11,0,0,2,2,2,0,5,0,0,0
"11 - Aude","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"11 - Aude","Gériatrie",8,0,1,0,2,0,1,4,0,0,0
"11 - Aude","Gynécologie médicale",13,0,0,0,0,0,1,6,4,2,0
"11 - Aude","Gynécologie-obstétrique",15,0,2,2,2,3,4,0,2,0,0
"11 - Aude","Hématologie",3,0,0,0,0,2,1,0,0,0,0
"11 - Aude","Gastro-entérologie et hépatologie",17,0,0,1,0,2,7,4,1,2,0
"11 - Aude","Médecine du travail",16,0,0,0,0,2,4,7,2,0,1
"11 - Aude","Médecine interne",4,0,1,0,0,2,0,0,0,1,0
"11 - Aude","Médecine nucléaire",2,0,0,0,1,0,0,1,0,0,0
"11 - Aude","Médecine physique et réadaptation",10,0,0,0,1,0,3,2,1,3,0
"11 - Aude","Néphrologie",8,0,1,1,1,1,0,2,2,0,0
"11 - Aude","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"11 - Aude","Neurologie",11,0,2,2,0,1,2,2,2,0,0
"11 - Aude","O.R.L et chirurgie cervico faciale",9,0,0,0,2,0,0,2,5,0,0
"11 - Aude","Oncologie option médicale",1,0,0,0,1,0,0,0,0,0,0
"11 - Aude","Ophtalmologie",28,0,1,3,2,3,2,6,6,3,2
"11 - Aude","Pédiatrie",27,0,0,0,6,0,5,5,9,2,0
"11 - Aude","Pneumologie",13,0,0,0,2,0,0,7,2,2,0
"11 - Aude","Psychiatrie",60,0,3,5,4,6,3,11,15,9,4
"11 - Aude","Radio-diagnostic et imagerie médicale",53,0,0,4,5,8,5,15,8,8,0
"11 - Aude","Radio-thérapie",5,0,0,0,0,2,0,2,0,1,0
"11 - Aude","Réanimation médicale",2,0,0,0,1,0,1,0,0,0,0
"11 - Aude","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"11 - Aude","Rhumatologie",17,0,1,1,1,4,1,4,5,0,0
"11 - Aude","Santé publique et médecine sociale",2,0,0,0,0,0,1,1,0,0,0
"11 - Aude","Généralistes",572,6,17,38,47,55,114,115,109,58,13
"11 - Aude","Médecine générale",572,6,17,38,47,55,114,115,109,58,13
"12 - Aveyron","Ensemble des spécialités d'exercice",747,13,39,36,56,68,117,146,173,90,9
"12 - Aveyron","Spécialistes",331,2,12,14,25,33,51,67,79,42,6
"12 - Aveyron","Anatomie et cytologie pathologiques",3,0,0,0,1,0,0,0,2,0,0
"12 - Aveyron","Anesthésie-réanimation",26,0,2,0,0,1,4,5,9,4,1
"12 - Aveyron","Biologie médicale",5,0,0,0,1,1,2,1,0,0,0
"12 - Aveyron","Cardiologie et maladies vasculaires",24,0,0,2,4,3,4,5,2,3,1
"12 - Aveyron","Chirurgie générale",12,0,0,0,0,2,1,2,7,0,0
"12 - Aveyron","Chirurgie maxillo-faciale et stomatologie",6,0,1,0,0,0,0,2,2,1,0
"12 - Aveyron","Chirurgie orthopédique et traumatologie",11,0,0,0,1,3,1,2,4,0,0
"12 - Aveyron","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Chirurgie urologique",3,0,0,1,1,0,1,0,0,0,0
"12 - Aveyron","Chirurgie vasculaire",1,0,0,0,0,0,0,0,1,0,0
"12 - Aveyron","Chirurgie viscérale et digestive",2,0,0,0,0,0,2,0,0,0,0
"12 - Aveyron","Dermatologie et vénéréologie",7,0,0,0,0,1,1,1,3,1,0
"12 - Aveyron","Endocrinologie et métabolisme",6,0,0,0,2,1,0,1,1,1,0
"12 - Aveyron","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Gériatrie",8,0,0,0,0,1,1,3,2,1,0
"12 - Aveyron","Gynécologie médicale",9,0,1,0,0,0,0,3,4,1,0
"12 - Aveyron","Gynécologie-obstétrique",9,0,1,0,0,3,1,1,3,0,0
"12 - Aveyron","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Gastro-entérologie et hépatologie",11,0,0,0,1,0,6,2,1,1,0
"12 - Aveyron","Médecine du travail",14,0,0,1,1,1,2,3,3,3,0
"12 - Aveyron","Médecine interne",5,0,0,0,0,1,2,2,0,0,0
"12 - Aveyron","Médecine nucléaire",2,0,1,0,0,0,1,0,0,0,0
"12 - Aveyron","Médecine physique et réadaptation",9,0,0,1,0,0,1,5,2,0,0
"12 - Aveyron","Néphrologie",4,0,0,1,0,0,2,0,1,0,0
"12 - Aveyron","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Neurologie",8,0,0,1,0,0,2,2,1,2,0
"12 - Aveyron","O.R.L et chirurgie cervico faciale",6,0,0,0,0,0,0,3,3,0,0
"12 - Aveyron","Oncologie option médicale",3,0,0,0,0,2,1,0,0,0,0
"12 - Aveyron","Ophtalmologie",18,0,0,0,1,2,2,4,1,6,2
"12 - Aveyron","Pédiatrie",19,2,2,0,2,0,2,4,5,1,1
"12 - Aveyron","Pneumologie",12,0,0,0,3,4,1,1,1,2,0
"12 - Aveyron","Psychiatrie",45,0,3,3,3,4,6,8,10,7,1
"12 - Aveyron","Radio-diagnostic et imagerie médicale",27,0,1,2,3,2,3,4,8,4,0
"12 - Aveyron","Radio-thérapie",3,0,0,1,0,0,0,1,1,0,0
"12 - Aveyron","Réanimation médicale",2,0,0,1,1,0,0,0,0,0,0
"12 - Aveyron","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"12 - Aveyron","Rhumatologie",9,0,0,0,0,1,1,2,2,3,0
"12 - Aveyron","Santé publique et médecine sociale",2,0,0,0,0,0,1,0,0,1,0
"12 - Aveyron","Généralistes",416,11,27,22,31,35,66,79,94,48,3
"12 - Aveyron","Médecine générale",416,11,27,22,31,35,66,79,94,48,3
"13 - Bouches-du-Rhône","Ensemble des spécialités d'exercice",8808,159,694,824,804,893,1261,1606,1573,770,224
"13 - Bouches-du-Rhône","Spécialistes",5101,77,446,535,468,552,625,938,869,443,148
"13 - Bouches-du-Rhône","Anatomie et cytologie pathologiques",71,1,7,7,6,12,9,15,8,5,1
"13 - Bouches-du-Rhône","Anesthésie-réanimation",537,5,57,63,55,60,45,107,99,40,6
"13 - Bouches-du-Rhône","Biologie médicale",138,1,7,13,17,37,37,13,9,4,0
"13 - Bouches-du-Rhône","Cardiologie et maladies vasculaires",331,5,35,21,28,26,44,47,63,47,15
"13 - Bouches-du-Rhône","Chirurgie générale",143,5,37,17,6,13,7,14,22,17,5
"13 - Bouches-du-Rhône","Chirurgie maxillo-faciale et stomatologie",63,0,5,4,4,4,3,19,16,5,3
"13 - Bouches-du-Rhône","Chirurgie orthopédique et traumatologie",116,0,9,22,16,12,21,12,18,5,1
"13 - Bouches-du-Rhône","Chirurgie infantile",23,0,1,5,3,4,4,1,3,2,0
"13 - Bouches-du-Rhône","Chirurgie plastique reconstructrice et esthétique",56,0,7,8,8,7,9,6,4,6,1
"13 - Bouches-du-Rhône","Chirurgie thoracique et cardio-vasculaire",20,0,1,6,1,3,5,2,2,0,0
"13 - Bouches-du-Rhône","Chirurgie urologique",36,0,1,6,7,4,9,2,3,3,1
"13 - Bouches-du-Rhône","Chirurgie vasculaire",28,0,1,1,5,5,3,7,4,1,1
"13 - Bouches-du-Rhône","Chirurgie viscérale et digestive",34,0,3,8,6,3,9,4,1,0,0
"13 - Bouches-du-Rhône","Dermatologie et vénéréologie",200,5,14,16,12,17,21,50,39,19,7
"13 - Bouches-du-Rhône","Endocrinologie et métabolisme",86,2,3,10,12,17,9,18,8,4,3
"13 - Bouches-du-Rhône","Génétique médicale",15,0,0,1,2,1,6,2,2,0,1
"13 - Bouches-du-Rhône","Gériatrie",24,0,0,4,4,4,7,0,5,0,0
"13 - Bouches-du-Rhône","Gynécologie médicale",139,1,5,2,0,0,3,65,39,19,5
"13 - Bouches-du-Rhône","Gynécologie-obstétrique",178,1,22,38,17,15,26,20,18,16,5
"13 - Bouches-du-Rhône","Hématologie",21,0,2,5,1,6,6,1,0,0,0
"13 - Bouches-du-Rhône","Gastro-entérologie et hépatologie",139,7,11,10,15,15,18,28,24,8,3
"13 - Bouches-du-Rhône","Médecine du travail",223,4,12,18,15,28,29,44,58,13,2
"13 - Bouches-du-Rhône","Médecine interne",86,0,9,8,7,14,10,5,18,11,4
"13 - Bouches-du-Rhône","Médecine nucléaire",26,1,6,3,3,3,2,2,3,1,2
"13 - Bouches-du-Rhône","Médecine physique et réadaptation",89,3,2,6,9,14,6,23,15,9,2
"13 - Bouches-du-Rhône","Néphrologie",54,2,6,9,8,7,6,4,7,3,2
"13 - Bouches-du-Rhône","Neuro-chirurgie",25,0,1,5,6,2,6,2,2,1,0
"13 - Bouches-du-Rhône","Neurologie",97,3,12,11,12,12,15,14,11,6,1
"13 - Bouches-du-Rhône","O.R.L et chirurgie cervico faciale",123,0,14,12,10,11,18,28,18,8,4
"13 - Bouches-du-Rhône","Oncologie option médicale",38,0,4,3,6,9,5,8,2,1,0
"13 - Bouches-du-Rhône","Ophtalmologie",257,1,13,18,12,20,38,71,49,24,11
"13 - Bouches-du-Rhône","Pédiatrie",335,9,32,44,43,29,27,57,51,29,14
"13 - Bouches-du-Rhône","Pneumologie",112,0,7,9,8,12,9,25,34,5,3
"13 - Bouches-du-Rhône","Psychiatrie",685,12,62,57,56,69,75,128,122,74,30
"13 - Bouches-du-Rhône","Radio-diagnostic et imagerie médicale",333,5,23,41,31,27,49,55,48,44,10
"13 - Bouches-du-Rhône","Radio-thérapie",29,1,3,2,4,5,4,2,5,3,0
"13 - Bouches-du-Rhône","Réanimation médicale",15,0,1,4,1,1,3,5,0,0,0
"13 - Bouches-du-Rhône","Recherche médicale",1,0,0,0,0,0,1,0,0,0,0
"13 - Bouches-du-Rhône","Rhumatologie",100,2,5,9,4,13,13,20,21,8,5
"13 - Bouches-du-Rhône","Santé publique et médecine sociale",75,1,6,9,8,11,8,12,18,2,0
"13 - Bouches-du-Rhône","Généralistes",3707,82,248,289,336,341,636,668,704,327,76
"13 - Bouches-du-Rhône","Médecine générale",3707,82,248,289,336,341,636,668,704,327,76
"14 - Calvados","Ensemble des spécialités d'exercice",2478,63,314,243,252,267,334,459,362,147,37
"14 - Calvados","Spécialistes",1344,28,178,144,137,138,164,261,190,85,19
"14 - Calvados","Anatomie et cytologie pathologiques",20,0,3,1,4,3,2,4,1,1,1
"14 - Calvados","Anesthésie-réanimation",132,1,22,15,11,15,11,23,20,12,2
"14 - Calvados","Biologie médicale",32,1,4,4,5,3,4,7,3,1,0
"14 - Calvados","Cardiologie et maladies vasculaires",82,1,13,8,3,12,10,19,10,3,3
"14 - Calvados","Chirurgie générale",50,4,18,4,1,0,1,6,12,3,1
"14 - Calvados","Chirurgie maxillo-faciale et stomatologie",17,0,1,3,0,1,1,5,5,1,0
"14 - Calvados","Chirurgie orthopédique et traumatologie",34,0,6,5,4,5,5,5,2,1,1
"14 - Calvados","Chirurgie infantile",4,0,0,1,0,0,1,1,1,0,0
"14 - Calvados","Chirurgie plastique reconstructrice et esthétique",4,0,0,0,0,0,1,2,1,0,0
"14 - Calvados","Chirurgie thoracique et cardio-vasculaire",7,0,1,0,4,0,1,1,0,0,0
"14 - Calvados","Chirurgie urologique",14,0,2,2,4,0,3,1,0,1,1
"14 - Calvados","Chirurgie vasculaire",9,0,2,1,0,1,1,1,2,1,0
"14 - Calvados","Chirurgie viscérale et digestive",16,0,1,1,5,2,4,1,1,1,0
"14 - Calvados","Dermatologie et vénéréologie",41,2,6,4,2,4,6,10,6,1,0
"14 - Calvados","Endocrinologie et métabolisme",18,1,2,5,4,1,2,2,0,1,0
"14 - Calvados","Génétique médicale",3,0,0,0,0,1,0,0,1,1,0
"14 - Calvados","Gériatrie",11,0,1,2,2,1,1,3,1,0,0
"14 - Calvados","Gynécologie médicale",23,0,0,0,0,0,0,15,7,1,0
"14 - Calvados","Gynécologie-obstétrique",56,2,9,11,9,1,2,8,10,2,2
"14 - Calvados","Hématologie",9,0,0,3,0,2,2,2,0,0,0
"14 - Calvados","Gastro-entérologie et hépatologie",46,1,6,4,5,8,10,7,3,2,0
"14 - Calvados","Médecine du travail",60,1,1,2,5,8,6,20,15,2,0
"14 - Calvados","Médecine interne",21,0,4,1,2,5,3,1,2,3,0
"14 - Calvados","Médecine nucléaire",12,2,2,0,1,0,2,1,4,0,0
"14 - Calvados","Médecine physique et réadaptation",23,1,1,1,0,1,6,4,6,3,0
"14 - Calvados","Néphrologie",15,0,4,1,1,4,1,3,1,0,0
"14 - Calvados","Neuro-chirurgie",11,0,3,0,1,1,2,2,1,1,0
"14 - Calvados","Neurologie",28,2,2,3,3,6,3,3,4,1,1
"14 - Calvados","O.R.L et chirurgie cervico faciale",36,0,5,3,3,4,4,7,6,4,0
"14 - Calvados","Oncologie option médicale",12,1,2,2,3,2,0,0,1,1,0
"14 - Calvados","Ophtalmologie",63,1,2,8,8,4,9,15,9,6,1
"14 - Calvados","Pédiatrie",92,2,13,16,11,7,8,17,11,5,2
"14 - Calvados","Pneumologie",37,2,5,1,6,5,6,8,2,2,0
"14 - Calvados","Psychiatrie",145,0,24,14,13,9,20,29,21,13,2
"14 - Calvados","Radio-diagnostic et imagerie médicale",95,2,7,10,10,14,17,15,13,6,1
"14 - Calvados","Radio-thérapie",19,0,0,2,3,1,2,5,2,3,1
"14 - Calvados","Réanimation médicale",2,0,0,1,1,0,0,0,0,0,0
"14 - Calvados","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"14 - Calvados","Rhumatologie",25,1,4,2,2,2,1,7,6,0,0
"14 - Calvados","Santé publique et médecine sociale",20,0,2,3,1,5,6,1,0,2,0
"14 - Calvados","Généralistes",1134,35,136,99,115,129,170,198,172,62,18
"14 - Calvados","Médecine générale",1134,35,136,99,115,129,170,198,172,62,18
"15 - Cantal","Ensemble des spécialités d'exercice",413,12,24,35,45,41,51,80,81,36,8
"15 - Cantal","Spécialistes",168,6,2,13,18,19,19,35,35,18,3
"15 - Cantal","Anatomie et cytologie pathologiques",2,0,0,0,0,0,1,0,1,0,0
"15 - Cantal","Anesthésie-réanimation",18,0,0,3,0,1,0,5,5,4,0
"15 - Cantal","Biologie médicale",3,1,0,0,0,0,1,0,1,0,0
"15 - Cantal","Cardiologie et maladies vasculaires",11,0,0,0,3,3,1,0,1,2,1
"15 - Cantal","Chirurgie générale",3,1,0,0,0,1,0,1,0,0,0
"15 - Cantal","Chirurgie maxillo-faciale et stomatologie",0,0,0,0,0,0,0,0,0,0,0
"15 - Cantal","Chirurgie orthopédique et traumatologie",10,0,0,0,0,3,1,1,4,1,0
"15 - Cantal","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"15 - Cantal","Chirurgie plastique reconstructrice et esthétique",1,0,0,0,0,0,1,0,0,0,0
